PO CREATION DATE,SUPPLIER ACCOUNT,PO NUMBER,LineNumber,Part Number,QTY,UNIT COST ,TOTAL LINE AMOUNT,Currency,RequestedDeliveryDate
07/07/2021,4938,PO422-000323,1,PartNo405,1,4.29,4.29,GBP,07/07/2021
07/07/2021,43143,PO422-000324,1,PartNo494,1,451.36,451.36,GBP,09/07/2021
07/07/2021,4912,PO422-000325,1,PartNo495,1,17.22,17.22,GBP,07/07/2021
07/07/2021,2995,PO422-000325,2,PartNo496,1,131.13,131.13,GBP,07/07/2021
07/07/2021,3242,PO422-000326,1,PartNo497,1,900.2,900.2,GBP,21/07/2021
07/07/2021,4486,PO422-000327,1,PartNo498,2,17.49,34.98,GBP,12/07/2021
07/07/2021,274,PO422-000328,1,PartNo499,300,0.16,48,GBP,07/07/2021
07/07/2021,2298,PO422-000329,1,PartNo500,1,162.9,162.9,GBP,07/07/2021
07/07/2021,4090,PO422-000330,1,PartNo501,2,112.45,224.9,GBP,07/07/2021
07/07/2021,4371,PO422-000331,1,PartNo502,2,79.5,159,GBP,12/07/2021
07/07/2021,4859,PO422-000332,1,PartNo503,1,30.82,30.82,GBP,15/07/2021
07/07/2021,4441,PO422-000332,2,PartNo504,4,10.5,42,GBP,15/07/2021
07/07/2021,3432,PO422-000332,3,PartNo505,2,16.66,33.32,GBP,15/07/2021
07/07/2021,3432,PO422-000332,4,PartNo506,10,7.49,74.9,GBP,15/07/2021
07/07/2021,4844,PO422-000332,5,PartNo507,10,0.79,7.9,GBP,15/07/2021
07/07/2021,2430,PO422-000332,6,PartNo508,5,13.33,66.65,GBP,15/07/2021
07/07/2021,237,PO422-000332,7,PartNo509,10,7.86,78.6,GBP,15/07/2021
07/07/2021,2658,PO422-000332,8,PartNo510,10,3.44,34.4,GBP,15/07/2021
07/07/2021,4371,PO422-000332,9,PartNo511,3,5.75,17.25,GBP,15/07/2021
07/07/2021,4555,PO422-000332,10,PartNo512,8,1.66,13.28,GBP,15/07/2021
07/07/2021,3270,PO422-000332,11,PartNo513,20,4.16,83.2,GBP,15/07/2021
07/07/2021,2475,PO422-000332,12,PartNo514,14,7.49,104.86,GBP,15/07/2021
